"Name","State","Notes","User","Tags","Created","Runtime","Sweep","global_config.LR","global_config.batch_size","global_config.epochs","global_config.hidden_layers","global_config.min_delta","global_config.n_runs","global_config.patience","k-hops","model","source-assortativity","source-avg_clustering_coefficient","source-dataset","source-edges","source-nodes","source-transitivity","target-assortativity","target-avg_clustering_coefficient","target-dataset","target-edges","target-nodes","target-transitivity","% Difference","-early-stopping-epoch","-training-loss","-validation-loss","source-classifier-accuracy","target-classifier-accuracy"
"egi-k3-14","finished","-","niklasdewally","","2023-06-06T12:40:53.000Z","190","","0.01","50","100","32","0.01","20","10","3","egi","-0.22479390365950935","0.5392721549504013","europe","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","brazil","1074","131","0.44974650483945305","32.41937996572675","41","-2.7881505489349365","29.88675117492676","0.49","0.648854961832061"
"egi-k3-13","finished","-","niklasdewally","","2023-06-06T12:38:50.000Z","121","","0.01","50","100","32","0.01","20","10","3","egi","-0.22479390365950935","0.5392721549504013","europe","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","brazil","1074","131","0.44974650483945305","62.41676140977751","21","-2.701368570327759","0.019951552152633667","0.47","0.7633587786259542"
"egi-k3-12","finished","-","niklasdewally","","2023-06-06T12:37:19.000Z","89","","0.01","50","100","32","0.01","20","10","3","egi","-0.22479390365950935","0.5392721549504013","europe","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","brazil","1074","131","0.44974650483945305","30.61916878710771","12","-2.6117639541625977","0.6926622986793518","0.45","0.5877862595419847"
"egi-k3-11","finished","-","niklasdewally","","2023-06-06T12:35:32.000Z","105","","0.01","50","100","32","0.01","20","10","3","egi","-0.22479390365950935","0.5392721549504013","europe","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","brazil","1074","131","0.44974650483945305","29.30362984888611","16","-1.6718319654464722","-0.23746219277381897","0.49","0.6335877862595419"
"egi-k3-10","finished","-","niklasdewally","","2023-06-06T12:33:33.000Z","117","","0.01","50","100","32","0.01","20","10","3","egi","-0.22479390365950935","0.5392721549504013","europe","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","brazil","1074","131","0.44974650483945305","61.75936023264269","20","-3.15384292602539","0.6714138984680176","0.42","0.6793893129770993"
"egi-k3-9","finished","-","niklasdewally","","2023-06-06T12:32:13.000Z","78","","0.01","50","100","32","0.01","20","10","3","egi","-0.22479390365950935","0.5392721549504013","europe","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","brazil","1074","131","0.44974650483945305","39.709059484372744","9","-2.6428074836730957","1.8076562881469729","0.53","0.7404580152671756"
"egi-k3-8","finished","-","niklasdewally","","2023-06-06T12:30:40.000Z","91","","0.01","50","100","32","0.01","20","10","3","egi","-0.22479390365950935","0.5392721549504013","europe","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","brazil","1074","131","0.44974650483945305","48.091603053435115","12","-2.750087022781372","-0.16146302223205566","0.5","0.7404580152671756"
"egi-k3-7","finished","-","niklasdewally","","2023-06-06T12:29:26.000Z","72","","0.01","50","100","32","0.01","20","10","3","egi","-0.22479390365950935","0.5392721549504013","europe","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","brazil","1074","131","0.44974650483945305","7.138074193116391","7","-2.1052634716033936","0.20560947060585025","0.57","0.6106870229007634"
"egi-k3-6","finished","-","niklasdewally","","2023-06-06T12:28:09.000Z","75","","0.01","50","100","32","0.01","20","10","3","egi","-0.22479390365950935","0.5392721549504013","europe","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","brazil","1074","131","0.44974650483945305","41.500651647737854","8","-1.1292136907577517","-0.1012771651148796","0.41","0.5801526717557252"
"egi-k3-5","finished","-","niklasdewally","","2023-06-06T12:25:25.000Z","162","","0.01","50","100","32","0.01","20","10","3","egi","-0.22479390365950935","0.5392721549504013","europe","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","brazil","1074","131","0.44974650483945305","28.244274809160295","33","-1.867330551147461","0.13656514883041382","0.5","0.6412213740458015"
"egi-k3-4","finished","-","niklasdewally","","2023-06-06T12:24:25.000Z","57","","0.01","50","100","32","0.01","20","10","3","egi","-0.22479390365950935","0.5392721549504013","europe","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","brazil","1074","131","0.44974650483945305","31.24414088656758","3","-1.181265354156494","0.4840070307254791","0.57","0.7480916030534351"
